"","hours","proportion_compliment","proportion_subset","proportion_compliment_sample"
"1",1,33.214920071048,23.0769230769231,38.7096774193548
"2",2,31.4643799472296,31.1475409836066,25.9259259259259
"3",3,26.4068209500609,27.4074074074074,34.453781512605
"4",4,30.4478427089022,33.5294117647059,25.2631578947368
"5",5,32.0754716981132,37.117903930131,22.4719101123595
"6",6,33.9337336001779,39.8467432950192,36.9337979094077
"7",7,33.4940264095577,32.8125,42.0765027322404
"8",8,34.7671840354767,38.3259911894273,33.6080586080586
"9",9,36.7145210637797,37.219730941704,41.6403785488959
"10",10,34.915611814346,33.920704845815,41.6666666666667
"11",11,33.4713952886358,32.8638497652582,32.4921135646688
"12",12,36.202411917711,40.3508771929825,33.8645418326693
"13",13,34.3721565059145,31.7073170731707,35.3505535055351
"14",14,35.6183889340928,40.7216494845361,36.7977528089888
"15",15,36.2393162393162,45.514950166113,37
"16",16,29.5449214168426,41.7142857142857,34.6733668341709
"17",17,34.5126604231703,26.9767441860465,43.3734939759036
"18",18,34.3260188087774,34.7619047619048,43.7125748502994
"19",19,35.8629130966952,24.6478873239437,45.0549450549451
"20",20,40.3151065801668,42.3913043478261,38.4615384615385
"21",21,40.2255639097744,45.8333333333333,43.75
"22",22,36.1050328227571,31.8181818181818,25
"23",23,37.7450980392157,50,50
"24",24,32.9317269076305,35.7142857142857,25
"25",25,32.6451612903226,30,48.3870967741936
"26",26,34.025787965616,29.5081967213115,39.5209580838323
"27",27,33.508604206501,31.25,27.2727272727273
"28",28,33.8486842105263,27.5167785234899,36.5019011406844
"29",29,32.1998430551923,24.7474747474747,29
"30",30,34.1040462427746,48.8188976377953,29.0322580645161
"31",31,33.9045287637699,41.06463878327,29.7794117647059
"32",32,36.0555110755271,49.3273542600897,42.8571428571429
"33",33,38.6969952260601,47.5675675675676,36.3636363636364
"34",34,33.9498806682578,30.8571428571429,37.7358490566038
"35",35,35.1004951937081,42.4731182795699,27.2413793103448
"36",36,35.1931330472103,29.0502793296089,34.2857142857143
"37",37,35.1198871650212,36.9565217391304,46.5986394557823
"38",38,33.6334874665369,37.0892018779343,33.8383838383838
"39",39,37.1928270976312,40.8921933085502,34.8484848484849
"40",40,38.1408276714021,35.9832635983264,35.9375
"41",41,35.1736972704715,44.8275862068966,37.3259052924791
"42",42,37.6332622601279,40.5063291139241,41.7142857142857
"43",43,36.9747899159664,72.4770642201835,43.75
"44",44,37.9248658318426,68.3098591549296,39.7058823529412
"45",45,43.7185929648241,66.0377358490566,35
"46",46,36.980306345733,68.75,48
"47",47,37.1559633027523,80,64.7058823529412
"48",48,37.5478927203065,85,28.2051282051282
"49",49,33.4745762711864,79.1666666666667,41.2698412698413
"50",50,30.8610400682012,73.75,45.2380952380952
"51",51,32.8,71.2574850299401,17.2413793103448
"52",52,32.2678843226788,69.921875,27.6315789473684
"53",53,33.1151241534989,68.6206896551724,35.0674373795761
"54",54,32.3070434415858,69.3939393939394,31.5151515151515
"55",55,32.0762536261915,70.4545454545455,33.6936936936937
"56",56,31.148538961039,69.205298013245,37.1900826446281
"57",57,33.9551298210234,50.2415458937198,38.6740331491713
"58",58,34.7444501806918,33.7662337662338,50
"59",59,32.126582278481,34.2857142857143,32.1428571428571
"60",60,29.5400943396226,35.8208955223881,29.1666666666667
"61",61,31.8999218139171,36.6336633663366,31.1224489795918
"62",62,31.1898512685914,31.9838056680162,36.8
"63",63,32.7734229189996,38.5496183206107,25
"64",64,27.8416498755482,31.0457516339869,44.3089430894309
"65",65,33.0350997935306,31.1004784688995,32
"66",66,35.6103476151981,39.8406374501992,38.2352941176471
"67",67,34.8552338530067,33.3333333333333,40.8163265306122
"68",68,37.6116978066612,34,37.0967741935484
"69",69,42.0454545454545,29.3103448275862,13.3333333333333
"70",70,43.4782608695652,11.1111111111111,31.8181818181818
"71",71,37.2549019607843,15.3846153846154,42.3076923076923
"72",72,32.3671497584541,53.8461538461538,60
