"","transactions_subset","proportion_subset","proportion_compliment"
"1",26,23.0769230769231,33.214920071048
"2",61,31.1475409836066,31.4643799472296
"3",135,27.4074074074074,26.4068209500609
"4",170,33.5294117647059,30.4478427089022
"5",229,37.117903930131,32.0754716981132
"6",261,39.8467432950192,33.9337336001779
"7",256,32.8125,33.4940264095577
"8",227,38.3259911894273,34.7671840354767
"9",223,37.219730941704,36.7145210637797
"10",227,33.920704845815,34.915611814346
"11",213,32.8638497652582,33.4713952886358
"12",228,40.3508771929825,36.202411917711
"13",205,31.7073170731707,34.3721565059145
"14",194,40.7216494845361,35.6183889340928
"15",301,45.514950166113,36.2393162393162
"16",350,41.7142857142857,29.5449214168426
"17",215,26.9767441860465,34.5126604231703
"18",210,34.7619047619048,34.3260188087774
"19",142,24.6478873239437,35.8629130966952
"20",92,42.3913043478261,40.3151065801668
"21",48,45.8333333333333,40.2255639097744
"22",22,31.8181818181818,36.1050328227571
"23",18,50,37.7450980392157
"24",14,35.7142857142857,32.9317269076305
"25",30,30,32.6451612903226
"26",61,29.5081967213115,34.025787965616
"27",128,31.25,33.508604206501
"28",149,27.5167785234899,33.8486842105263
"29",198,24.7474747474747,32.1998430551923
"30",254,48.8188976377953,34.1040462427746
"31",263,41.06463878327,33.9045287637699
"32",223,49.3273542600897,36.0555110755271
"33",185,47.5675675675676,38.6969952260601
"34",175,30.8571428571429,33.9498806682578
"35",186,42.4731182795699,35.1004951937081
"36",179,29.0502793296089,35.1931330472103
"37",184,36.9565217391304,35.1198871650212
"38",213,37.0892018779343,33.6334874665369
"39",269,40.8921933085502,37.1928270976312
"40",239,35.9832635983264,38.1408276714021
"41",232,44.8275862068966,35.1736972704715
"42",237,40.5063291139241,37.6332622601279
"43",218,72.4770642201835,36.9747899159664
"44",142,68.3098591549296,37.9248658318426
"45",53,66.0377358490566,43.7185929648241
"46",32,68.75,36.980306345733
"47",15,80,37.1559633027523
"48",20,85,37.5478927203065
"49",48,79.1666666666667,33.4745762711864
"50",80,73.75,30.8610400682012
"51",167,71.2574850299401,32.8
"52",256,69.921875,32.2678843226788
"53",290,68.6206896551724,33.1151241534989
"54",330,69.3939393939394,32.3070434415858
"55",308,70.4545454545455,32.0762536261915
"56",302,69.205298013245,31.148538961039
"57",207,50.2415458937198,33.9551298210234
"58",154,33.7662337662338,34.7444501806918
"59",175,34.2857142857143,32.126582278481
"60",201,35.8208955223881,29.5400943396226
"61",202,36.6336633663366,31.8999218139171
"62",247,31.9838056680162,31.1898512685914
"63",262,38.5496183206107,32.7734229189996
"64",306,31.0457516339869,27.8416498755482
"65",209,31.1004784688995,33.0350997935306
"66",251,39.8406374501992,35.6103476151981
"67",177,33.3333333333333,34.8552338530067
"68",100,34,37.6116978066612
"69",58,29.3103448275862,42.0454545454545
"70",27,11.1111111111111,43.4782608695652
"71",13,15.3846153846154,37.2549019607843
"72",26,53.8461538461538,32.3671497584541
