"","t","s","mid","pmt","pg","subtype","hr","bank"
"1",2,1,"zivame","NB","PAYU","notprovided","2020-02-14 06","NB_CITI"
"2",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 06","NB_SYNB"
"3",5,1,"pharmeasytech","WALLET","AIRTELMONEY","REDIRECT_WALLET_DEBIT","2020-02-14 11","AIRTELMONEY"
"4",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 12","THE SATARA SAHAKARI BANK LTD MUMBAI"
"5",1,1,"fanfight","CARD","RAZORPAY","notprovided","2020-02-14 06","DCB"
"6",3,3,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 07","SARVA HARYANA GRAMIN BANK"
"7",2,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 09","Abhyudaya Cooperative Bank"
"8",1,1,"zivame","CARD","PAYU","notprovided","2020-02-14 09","South Indian Bank"
"9",2,2,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 07","Abhyudaya Cooperative Bank"
"10",1,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 02","Karur Vysya Bank"
"11",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 03","NB_CSB"
"12",6,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 09","NB_INDB"
"13",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 02","JANATA SAHAKARI BANK LTD PUNE"
"14",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 03","NB_IDFC"
"15",1,0,"zivame","NB","PAYU","notprovided","2020-02-14 12","NB_KARN"
"16",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 09","MATTELF.C.U."
"17",4,1,"fanfight","CARD","RAZORPAY","notprovided","2020-02-14 05","Karur Vysya Bank"
"18",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","BARODA RAJASTHAN KSHETRIYA GRAMIN BANK"
"19",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 07","NB_CUB"
"20",1,1,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 08","Punjab and Sind Bank"
"21",2,1,"zivame","CARD","HDFC","notprovided","2020-02-14 08","City Union Bank"
"22",3,1,"fanfight","CARD","RAZORPAY","notprovided","2020-02-14 07","SOUTHCAROLINAF.C.U."
"23",1,0,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 11","GP Parsik Bank"
"24",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 04","NB_UNIB"
"25",1,1,"countrydelight","CARD","PAYU","notprovided","2020-02-14 12","FIRSTDUPAGEBANK"
"26",3,3,"fanfight","NB","PAYTM","notprovided","2020-02-14 12","NB_IDFC"
"27",1,1,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 04","THE KALUPUR COMMERCIAL CO OP BANK LTD"
"28",1,1,"drivezy","CONSUMER_FINANCE","EPAYLATER","notprovided","2020-02-14 11","EPAYLATER"
"29",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","THE ALMORA URBAN COOPERATIVE BANK"
"30",1,1,"zivame","NB","PAYU","notprovided","2020-02-14 17","NB_IOB"
"31",5,0,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 13","JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR"
"32",2,0,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 16","South Indian Bank"
"33",9,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 15","NB_INDB"
"34",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 15","THE MOGAVEERA COOP BANK LTD"
"35",1,1,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 14","THE MOGAVEERA COOP BANK LTD"
"36",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 13","NB_FED"
"37",1,0,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 13","CANADIANIMPERIALBANKOFCOMMERCE"
"38",5,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 13","NB_ALLB"
"39",3,0,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","PURVANCHAL GRAMIN BANK"
